月份,Tesla_A100_SXM4_40GB,Tesla_V100_PCIE_16GB,GeForce_GTX_1080_Ti
2023/4月,20623.43,83302.51,58972.23
2023/5月,20623.43,41651.26,58972.23
2023/6月,20623.43,41651.26,58972.23
2023/7月,20623.43,41651.26,47177.6
