日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2022-11-23,10:00:46,ABUD/vi_irdc,960/1024,2022,11,10,960,1024,93.75
2022-11-23,10:00:46,SH40/IRDC_Share,242/384,2022,11,10,242,384,63.02
2022-11-23,14:00:49,SG2/IRDCSG,256/320,2022,11,14,256,320,80.0
2022-11-23,14:00:49,ABUD/vi_irdc,1024/1024,2022,11,14,1024,1024,100.0
2022-11-23,14:00:49,SH40/IRDC_Share,342/384,2022,11,14,342,384,89.06
2022-11-23,18:00:52,SG2/IRDCSG,256/320,2022,11,18,256,320,80.0
2022-11-23,18:00:52,ABUD/vi_irdc,1024/1024,2022,11,18,1024,1024,100.0
2022-11-23,18:00:52,SH40/IRDC_Share,350/384,2022,11,18,350,384,91.15
2022-11-23,22:00:47,SG2/IRDCSG,256/320,2022,11,22,256,320,80.0
2022-11-23,22:00:47,ABUD/vi_irdc,1024/1024,2022,11,22,1024,1024,100.0
2022-11-23,22:00:47,SH40/IRDC_Share,375/384,2022,11,22,375,384,97.66
2022-11-24,10:00:41,SG2/IRDCSG,256/320,2022,11,10,256,320,80.0
2022-11-24,10:00:41,ABUD/vi_irdc,896/1024,2022,11,10,896,1024,87.5
2022-11-24,10:00:41,SH40/IRDC_Share,338/384,2022,11,10,338,384,88.02
2022-11-24,14:00:46,SG2/IRDCSG,256/320,2022,11,14,256,320,80.0
2022-11-24,14:00:46,ABUD/vi_irdc,832/1024,2022,11,14,832,1024,81.25
2022-11-24,14:00:46,SH40/IRDC_Share,373/384,2022,11,14,373,384,97.14
2022-11-24,18:00:47,SG2/IRDCSG,192/320,2022,11,18,192,320,60.0
2022-11-24,18:00:47,ABUD/vi_irdc,960/1024,2022,11,18,960,1024,93.75
2022-11-24,18:00:47,SH40/IRDC_Share,369/384,2022,11,18,369,384,96.09
2022-11-24,22:00:43,SG2/IRDCSG,192/320,2022,11,22,192,320,60.0
2022-11-24,22:00:43,ABUD/vi_irdc,1024/1024,2022,11,22,1024,1024,100.0
2022-11-24,22:00:43,SH40/IRDC_Share,289/384,2022,11,22,289,384,75.26
2022-11-25,10:00:54,SG2/IRDCSG,192/320,2022,11,10,192,320,60.0
2022-11-25,10:00:54,ABUD/vi_irdc,768/1024,2022,11,10,768,1024,75.0
2022-11-25,10:00:54,SH40/IRDC_Share,273/384,2022,11,10,273,384,71.09
2022-11-25,14:00:48,SG2/IRDCSG,192/320,2022,11,14,192,320,60.0
2022-11-25,14:00:48,ABUD/vi_irdc,704/1024,2022,11,14,704,1024,68.75
2022-11-25,14:00:48,SH40/IRDC_Share,377/384,2022,11,14,377,384,98.18
2022-11-25,18:00:51,SG2/IRDCSG,192/320,2022,11,18,192,320,60.0
2022-11-25,18:00:51,ABUD/vi_irdc,768/1024,2022,11,18,768,1024,75.0
